model,display_order,false_positive_rate,true_positive_rate,true_positive_rate_lower,true_positive_rate_upper,operating_point,auroc,ece,brier_score
Foundation model,1,0,0,0,0.01,no,0.932,0.041,0.119
Foundation model,1,0.01,0.28,0.24,0.32,no,0.932,0.041,0.119
Foundation model,1,0.03,0.47,0.43,0.51,no,0.932,0.041,0.119
Foundation model,1,0.07,0.63,0.59,0.67,no,0.932,0.041,0.119
Foundation model,1,0.12,0.74,0.7,0.78,yes,0.932,0.041,0.119
Foundation model,1,0.2,0.83,0.79,0.87,no,0.932,0.041,0.119
Foundation model,1,0.32,0.9,0.87,0.93,no,0.932,0.041,0.119
Foundation model,1,0.48,0.95,0.92,0.97,no,0.932,0.041,0.119
Foundation model,1,0.66,0.98,0.96,0.99,no,0.932,0.041,0.119
Foundation model,1,0.82,0.995,0.98,1,no,0.932,0.041,0.119
Foundation model,1,1,1,0.99,1,no,0.932,0.041,0.119
Hybrid GNN,2,0,0,0,0.01,no,0.891,0.063,0.148
Hybrid GNN,2,0.01,0.2,0.16,0.24,no,0.891,0.063,0.148
Hybrid GNN,2,0.03,0.35,0.31,0.39,no,0.891,0.063,0.148
Hybrid GNN,2,0.07,0.5,0.46,0.54,no,0.891,0.063,0.148
Hybrid GNN,2,0.12,0.62,0.58,0.66,no,0.891,0.063,0.148
Hybrid GNN,2,0.2,0.72,0.68,0.76,yes,0.891,0.063,0.148
Hybrid GNN,2,0.32,0.81,0.77,0.85,no,0.891,0.063,0.148
Hybrid GNN,2,0.48,0.88,0.85,0.91,no,0.891,0.063,0.148
Hybrid GNN,2,0.66,0.93,0.9,0.95,no,0.891,0.063,0.148
Hybrid GNN,2,0.82,0.97,0.95,0.98,no,0.891,0.063,0.148
Hybrid GNN,2,1,1,0.99,1,no,0.891,0.063,0.148
CNN baseline,3,0,0,0,0.01,no,0.823,0.097,0.183
CNN baseline,3,0.01,0.12,0.09,0.15,no,0.823,0.097,0.183
CNN baseline,3,0.03,0.24,0.2,0.28,no,0.823,0.097,0.183
CNN baseline,3,0.07,0.36,0.32,0.4,no,0.823,0.097,0.183
CNN baseline,3,0.12,0.48,0.44,0.52,no,0.823,0.097,0.183
CNN baseline,3,0.2,0.58,0.54,0.62,no,0.823,0.097,0.183
CNN baseline,3,0.32,0.68,0.64,0.72,yes,0.823,0.097,0.183
CNN baseline,3,0.48,0.77,0.73,0.81,no,0.823,0.097,0.183
CNN baseline,3,0.66,0.86,0.82,0.89,no,0.823,0.097,0.183
CNN baseline,3,0.82,0.93,0.9,0.95,no,0.823,0.097,0.183
CNN baseline,3,1,1,0.99,1,no,0.823,0.097,0.183
