model,display_order,mean_predicted,observed_rate,observed_lower,observed_upper,sample_count,sample_fraction,label_bin,ece,max_calibration_gap,brier_score
Foundation model,1,0.05,0.04,0.02,0.06,50,0.05,no,0.018,0.04,0.092
Foundation model,1,0.15,0.14,0.1,0.18,90,0.09,no,0.018,0.04,0.092
Foundation model,1,0.25,0.25,0.2,0.3,140,0.14,no,0.018,0.04,0.092
Foundation model,1,0.35,0.36,0.3,0.42,180,0.18,no,0.018,0.04,0.092
Foundation model,1,0.45,0.45,0.39,0.51,190,0.19,no,0.018,0.04,0.092
Foundation model,1,0.55,0.56,0.5,0.62,160,0.16,no,0.018,0.04,0.092
Foundation model,1,0.7,0.69,0.62,0.76,120,0.12,no,0.018,0.04,0.092
Foundation model,1,0.9,0.88,0.79,0.95,70,0.07,yes,0.018,0.04,0.092
Hybrid GNN,2,0.05,0.03,0.01,0.05,60,0.06,no,0.071,0.14,0.121
Hybrid GNN,2,0.15,0.1,0.07,0.13,100,0.1,no,0.071,0.14,0.121
Hybrid GNN,2,0.25,0.19,0.14,0.24,150,0.15,no,0.071,0.14,0.121
Hybrid GNN,2,0.35,0.29,0.23,0.35,190,0.19,no,0.071,0.14,0.121
Hybrid GNN,2,0.45,0.39,0.33,0.45,180,0.18,no,0.071,0.14,0.121
Hybrid GNN,2,0.55,0.49,0.42,0.56,140,0.14,no,0.071,0.14,0.121
Hybrid GNN,2,0.7,0.61,0.53,0.69,100,0.1,no,0.071,0.14,0.121
Hybrid GNN,2,0.9,0.76,0.66,0.84,80,0.08,yes,0.071,0.14,0.121
CNN baseline,3,0.05,0.01,0,0.03,70,0.07,no,0.128,0.2,0.149
CNN baseline,3,0.15,0.08,0.05,0.11,120,0.12,no,0.128,0.2,0.149
CNN baseline,3,0.25,0.15,0.1,0.2,160,0.16,no,0.128,0.2,0.149
CNN baseline,3,0.35,0.24,0.18,0.3,180,0.18,no,0.128,0.2,0.149
CNN baseline,3,0.45,0.33,0.27,0.39,160,0.16,no,0.128,0.2,0.149
CNN baseline,3,0.55,0.43,0.36,0.5,120,0.12,no,0.128,0.2,0.149
CNN baseline,3,0.7,0.54,0.46,0.62,100,0.1,no,0.128,0.2,0.149
CNN baseline,3,0.9,0.7,0.59,0.79,90,0.09,yes,0.128,0.2,0.149
