record_id,stage,decision,exclusion_reason,reviewer,timestamp
R0001,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0002,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0003,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0004,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0005,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0006,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0007,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0008,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0009,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0010,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0011,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0012,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0013,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0014,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0015,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0016,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0017,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0018,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0019,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0020,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0021,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0022,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0023,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0024,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0025,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0026,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0027,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0028,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0029,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0030,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0031,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0032,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0033,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0034,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
R0035,title_abstract,include,,reviewer_A,2026-03-20T10:00:00
